years,sex,Age,social status,Education level,Religion,Job,Charge,Number
"2,012",female,42,married,uneducated,Muslim,Housewife,theft,1
"2,012",female,35,divorced,Middle school,Muslim,Housewife,theft,1
"2,012",male,31,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,28,married,High school,Muslim,Employee,theft,1
"2,012",male,69,married,commerical high school,Muslim,dealer,theft,1
"2,012",male,55,single,science high school,Muslim,bussiness man,theft,1
"2,012",male,34,married,Secondary literary,Muslim,student,theft,1
"2,012",male,20,single,Undefined,Muslim,student,theft,1
"2,012",female,34,married,High school,Muslim,Housewife,theft,1
"2,012",male,35,married,Undefined,Muslim,Employee,theft,1
"2,012",male,30,married,Undefined,Muslim,Employee,theft,1
"2,012",male,60,married,redaing & writing,Muslim,Employee,theft,1
"2,012",female,30,married,diploma,Muslim,Employee,theft,1
"2,012",male,21,married,High school,Muslim,Employee,theft,1
"2,012",male,61,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,24,married,Undefined,Muslim,Employee,theft,1
"2,012",female,48,married,Secondary literary,Muslim,Employee,theft,1
"2,012",male,31,married,High school,Muslim,Employee,theft,1
"2,012",female,24,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,53,married,uneducated,Muslim,Employee,theft,1
"2,012",male,49,,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,52,,Middle school,Muslim,Employee,theft,1
"2,012",male,51,married,Middle school,Muslim,Employee,theft,1
"2,012",male,24,married,Undefined,Muslim,Employee,theft,1
"2,012",female,36,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,45,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,65,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,78,,uneducated,Muslim,Employee,theft,1
"2,012",male,23,married,Undefined,Muslim,Employee,theft,1
"2,012",male,21,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,39,married,diploma Undefined,Muslim,Employee,theft,1
"2,012",male,64,married,Middle school,Muslim,Employee,theft,1
"2,012",male,38,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,36,married,High school,Muslim,Employee,theft,1
"2,012",male,44,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,30,married,High school,Muslim,Employee,theft,1
"2,012",male,37,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,41,married,University,Muslim,Employee,theft,1
"2,012",male,55,married,Middle school,Muslim,Employee,theft,1
"2,012",male,44,single,Middle school,Muslim,Employee,theft,1
"2,012",male,30,married,High school,Muslim,Employee,theft,1
"2,012",male,56,married,Secondary literary,Muslim,Employee,theft,1
"2,012",female,54,divorced,redaing & writing,Muslim,Employee,theft,1
"2,012",male,56,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,34,,Middle school,Muslim,Employee,theft,1
"2,012",male,54,single,Middle school,Muslim,Employee,theft,1
"2,012",male,54,married,Middle school,Muslim,Employee,theft,1
"2,012",male,54,married,Middle school,Muslim,Employee,theft,1
"2,012",male,31,married,High school,Muslim,Employee,theft,1
"2,012",male,53,married,redaing & writing,Muslim,Employee,theft,1
"2,012",female,44,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,20,single,Undefined,Muslim,Employee,theft,1
"2,012",male,28,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,43,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,34,married,Undefined,Muslim,Employee,theft,1
"2,012",male,56,married,ابتدائيه عامه,Muslim,Employee,theft,1
"2,012",male,62,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,24,married,High school,Muslim,Employee,theft,1
"2,012",male,35,married,University,Muslim,Employee,theft,1
"2,012",male,52,married,uneducated,Muslim,Employee,theft,1
"2,012",male,55,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,47,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,45,married,ابتدائيه عامه,Muslim,Employee,theft,1
"2,012",male,54,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,30,married,Undefined,Muslim,Employee,theft,1
"2,012",female,44,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,60,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,58,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,51,married,Middle school,Muslim,Employee,theft,1
"2,012",male,45,married,Middle school,Muslim,Employee,theft,1
"2,012",male,42,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,45,married,Middle school,Muslim,Employee,theft,1
"2,012",female,58,divorced,uneducated,Muslim,Employee,theft,1
"2,012",male,43,married,Middle school,Muslim,Employee,theft,1
"2,012",male,45,married,Middle school,Muslim,Employee,theft,1
"2,012",male,41,married,Secondary literary,Muslim,Employee,theft,1
"2,012",male,51,divorced,Secondary literary,Muslim,Employee,theft,1
"2,012",female,39,married,Secondary literary,Muslim,Employee,theft,1
"2,012",male,36,divorced,Secondary literary,Muslim,Employee,theft,1
"2,012",male,47,married,Secondary literary,Muslim,Employee,theft,1
"2,012",male,31,single,Secondary literary,Muslim,Employee,theft,1
"2,012",male,48,married,Secondary literary,Muslim,Employee,theft,1
"2,012",male,38,married,Secondary literary,Muslim,Employee,theft,1
"2,012",female,58,married,Secondary literary,Muslim,Employee,theft,1
"2,012",female,30,,Secondary literary,Muslim,Employee,theft,1
"2,012",male,22,married,High school,Muslim,Employee,theft,1
"2,012",male,51,married,Middle school,Muslim,Employee,theft,1
"2,012",male,35,married,Middle school,Muslim,Employee,theft,1
"2,012",male,52,married,Middle school,Muslim,Employee,theft,1
"2,012",male,28,single,Undefined,Muslim,Employee,theft,1
"2,012",male,30,married,High school,Muslim,Employee,theft,1
"2,012",male,78,divorced,uneducated,Muslim,Employee,theft,1
"2,012",male,20,single,Undefined,Muslim,Employee,theft,1
"2,012",male,67,married,uneducated,Muslim,Employee,theft,1
"2,012",male,70,married,uneducated,Muslim,Employee,theft,1
"2,012",male,54,married,uneducated,Muslim,Employee,theft,1
"2,012",male,23,single,Undefined,Muslim,Employee,theft,1
"2,012",male,23,married,High school,Muslim,Employee,theft,1
"2,012",male,21,married,High school,Muslim,Employee,theft,1
"2,012",male,49,married,High school,Muslim,Employee,theft,1
"2,012",male,31,married,High school,Muslim,Employee,theft,1
"2,012",male,65,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,38,married,Middle school,Muslim,Employee,theft,1
"2,012",male,33,married,Undefined,Muslim,Employee,theft,1
"2,012",female,29,married,High school,Muslim,Employee,theft,1
"2,012",male,51,married,redaing & writing,Muslim,Employee,theft,1
"2,012",female,36,married,High school,Muslim,Employee,theft,1
"2,012",male,23,married,Secondary literary,Muslim,Employee,theft,1
"2,012",female,45,,Secondary literary,Muslim,Employee,theft,1
"2,012",female,43,married,Secondary literary,Muslim,Employee,theft,1
"2,012",male,26,married,diploma,Muslim,Employee,theft,1
"2,012",male,37,single,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,46,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,31,divorced,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,29,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,22,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,31,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,38,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,29,,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,37,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,40,divorced,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,27,single,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,26,divorced,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,23,single,Undefined,Muslim,Employee,theft,1
"2,012",male,29,married,High school,Muslim,Employee,theft,1
"2,012",male,23,married,High school,Muslim,Employee,theft,1
"2,012",male,32,single,Undefined,Muslim,Employee,theft,1
"2,012",male,20,single,Undefined,Muslim,Employee,theft,1
"2,012",male,28,,Undefined,Muslim,Employee,theft,1
"2,012",male,42,married,Undefined,Muslim,Employee,theft,1
"2,012",female,29,single,Undefined,Muslim,Employee,theft,1
"2,012",male,36,married,Undefined,Muslim,Employee,theft,1
"2,012",male,31,single,Undefined,Muslim,Employee,theft,1
"2,012",male,35,married,Undefined,Muslim,Employee,theft,1
"2,012",male,23,married,Undefined,Muslim,Employee,theft,1
"2,012",male,39,married,High school,Muslim,Employee,theft,1
"2,012",male,24,married,University,Muslim,Employee,theft,1
"2,012",male,38,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,25,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,31,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,34,divorced,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,89,ارمل,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,36,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,60,,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,26,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,56,ارمل,uneducated,Muslim,Employee,theft,1
"2,012",male,18,single,Undefined,Muslim,Employee,theft,1
